system:index,availability_status,figure_id,is_valid_month,month,month_of_year,pollutant,processing_branch,support_count_mean,support_count_median,support_count_p10,support_count_p90,system_time_start,temporal_support_fraction_mean,temporal_support_mode,valid_area_percent,year,.geo
1_1_1_1_2_0000000000000000001c,VALID,FIG_7,1,2020-10,10,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,15.068135691504782,15.0,14.0,16.0,1601510400000,,VALID_ORBITAL_OBSERVATIONS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001b,VALID,FIG_7,1,2020-10,10,NO2,NO2_DAILY_FIRST_LEVEL1,18.936395889765627,18.999999999999996,17.000000000000004,21.000000000000004,1601510400000,0.6108514791067823,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001e,VALID,FIG_7,1,2020-11,11,NO2,NO2_DAILY_FIRST_LEVEL1,8.968157460840892,9.0,8.0,9.999999999999993,1604188800000,0.29893859353389424,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000020,VALID,FIG_7,1,2020-11,11,CO,CO_DAILY_FIRST,21.49405252620422,21.99999999999999,19.0,23.000000000000004,1604188800000,0.7164684208023314,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0000000000000000001f,NA_NO_VALID_FINAL_RASTER_DATA,FIG_7,0,2020-11,11,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,0.0,0.0,0.0,0.0,1604188800000,,VALID_ORBITAL_OBSERVATIONS,0.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000021,VALID,FIG_7,1,2020-12,12,NO2,NO2_DAILY_FIRST_LEVEL1,4.2096852549758585,4.0,3.0,5.0,1606780800000,0.1357962945005633,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000023,VALID,FIG_7,1,2020-12,12,CO,CO_DAILY_FIRST,19.420320044753286,19.999999999999996,17.000000000000004,21.00000000000001,1606780800000,0.6264619316768415,VALID_DAYS,100.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_00000000000000000022,NA_NO_VALID_FINAL_RASTER_DATA,FIG_7,0,2020-12,12,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,0.0,0.0,0.0,0.0,1606780800000,,VALID_ORBITAL_OBSERVATIONS,0.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000000,VALID,FIG_7,1,2021-01,1,NO2,NO2_DAILY_FIRST_LEVEL1,5.6221881992698135,6.000000000000003,4.0,7.0,1609459200000,0.18136090424888876,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000001,NA_NO_VALID_FINAL_RASTER_DATA,FIG_7,0,2021-01,1,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,0.0,0.0,0.0,0.0,1609459200000,,VALID_ORBITAL_OBSERVATIONS,0.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000002,VALID,FIG_7,1,2021-01,1,CO,CO_DAILY_FIRST,14.186682958426568,13.999999999999991,11.999999999999995,17.0,1609459200000,0.4576349231460453,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000003,VALID,FIG_7,1,2021-02,2,NO2,NO2_DAILY_FIRST_LEVEL1,3.3323960664232706,3.0000000000000018,3.0000000000000018,4.0,1612137600000,0.11901414840340793,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000005,VALID,FIG_7,1,2021-02,2,CO,CO_DAILY_FIRST,14.568079437050994,14.000000000000002,12.000000000000002,17.0,1612137600000,0.5202885479304886,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000004,VALID,FIG_7,1,2021-02,2,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,1.0,1.0,1.0,1.0,1612137600000,,VALID_ORBITAL_OBSERVATIONS,96.09666413359452,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000008,VALID,FIG_7,1,2021-03,3,CO,CO_DAILY_FIRST,17.091979743257564,17.000000000000004,14.0,20.000000000000007,1614556800000,0.5513541807531663,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000006,VALID,FIG_7,1,2021-03,3,NO2,NO2_DAILY_FIRST_LEVEL1,8.766451242492053,8.999999999999998,7.000000000000003,10.000000000000002,1614556800000,0.2827887413300468,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000007,VALID,FIG_7,1,2021-03,3,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,8.493476369962305,9.0,7.0,11.0,1614556800000,,VALID_ORBITAL_OBSERVATIONS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000009,VALID,FIG_7,1,2021-04,4,NO2,NO2_DAILY_FIRST_LEVEL1,7.36475385702509,7.0,6.0,9.000000000000002,1617235200000,0.24549180281416189,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000b,VALID,FIG_7,1,2021-04,4,CO,CO_DAILY_FIRST,18.94997644564833,18.999999999999986,16.999999999999993,21.000000000000004,1617235200000,0.631665888293207,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000a,VALID,FIG_7,1,2021-04,4,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,7.6378660481298954,8.0,7.0,8.0,1617235200000,,VALID_ORBITAL_OBSERVATIONS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000c,VALID,FIG_7,1,2021-05,5,NO2,NO2_DAILY_FIRST_LEVEL1,13.283476622305967,12.999999999999993,12.0,14.999999999999998,1619827200000,0.42849923323801736,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000d,VALID,FIG_7,1,2021-05,5,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,13.730066685995942,14.0,11.0,16.0,1619827200000,,VALID_ORBITAL_OBSERVATIONS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000e,VALID,FIG_7,1,2021-05,5,CO,CO_DAILY_FIRST,22.203487516193608,22.000000000000004,21.0,23.999999999999996,1619827200000,0.7162415260566851,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000010,VALID,FIG_7,1,2021-06,6,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,15.24383879385329,15.0,13.0,17.0,1622505600000,,VALID_ORBITAL_OBSERVATIONS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000011,VALID,FIG_7,1,2021-06,6,CO,CO_DAILY_FIRST,20.177879519491214,19.999999999999993,19.000000000000004,21.999999999999993,1622505600000,0.6725959889288013,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0000000000000000000f,VALID,FIG_7,1,2021-06,6,NO2,NO2_DAILY_FIRST_LEVEL1,11.008001118831697,11.0,8.999999999999998,13.0,1622505600000,0.3669333786936944,VALID_DAYS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_00000000000000000013,VALID,FIG_7,1,2021-07,7,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,27.237460133371993,27.0,25.0,29.0,1625097600000,,VALID_ORBITAL_OBSERVATIONS,100.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
